id,Date,Random,Location,Site,Observer,Depth (m),Visibility (m),Replicate,Interval,Genus,Species,Scientific Name,Count,Size Est (cm)
193,META-nan,1,,,,,,,,,,,,
194,META-nan,1,,,,,,,,,,,,
195,META-nan,0,,,,,,,,,,,,
196,META-nan,1,,,,,,,,,,,,
197,META-nan,1,,,,,,,,,,,,
198,META-nan,1,,,,,,,,,,,,
199,META-nan,0,,,,,,,,,,,,
200,META-nan,0,,,,,,,,,,,,
201,META-nan,1,,,,,,,,,,,,
202,META-nan,0,,,,,,,,,,,,
203,META-nan,1,,,,,,,,,,,,
204,META-nan,1,,,,,,,,,,,,
205,META-nan,1,,,,,,,,,,,,
206,META-nan,1,,,,,,,,,,,,
207,META-nan,0,,,,,,,,,,,,
208,META-nan,0,,,,,,,,,,,,
209,META-nan,0,,,,,,,,,,,,
210,META-nan,0,,,,,,,,,,,,
211,META-nan,1,,,,,,,,,,,,
212,META-nan,0,,,,,,,,,,,,
213,META-nan,1,,,,,,,,,,,,
214,META-nan,0,,,,,,,,,,,,
215,META-nan,0,,,,,,,,,,,,
216,META-nan,1,,,,,,,,,,,,
217,META-nan,1,,,,,,,,,,,,
218,META-nan,0,,,,,,,,,,,,
219,META-nan,1,,,,,,,,,,,,
220,META-nan,1,,,,,,,,,,,,
221,META-nan,1,,,,,,,,,,,,
222,META-nan,1,,,,,,,,,,,,
223,META-nan,0,,,,,,,,,,,,
224,META-nan,1,,,,,,,,,,,,
225,META-nan,0,,,,,,,,,,,,
226,META-nan,1,,,,,,,,,,,,
227,META-nan,1,,,,,,,,,,,,
228,META-nan,0,,,,,,,,,,,,
229,META-nan,0,,,,,,,,,,,,
230,META-nan,1,,,,,,,,,,,,
231,META-nan,1,,,,,,,,,,,,
232,META-nan,0,,,,,,,,,,,,
233,META-nan,0,,,,,,,,,,,,
234,META-nan,0,,,,,,,,,,,,
235,META-nan,0,,,,,,,,,,,,
236,META-nan,0,,,,,,,,,,,,
237,META-nan,1,,,,,,,,,,,,
238,META-nan,1,,,,,,,,,,,,
239,META-nan,0,,,,,,,,,,,,
240,META-nan,0,,,,,,,,,,,,
241,META-nan,1,,,,,,,,,,,,
242,META-nan,1,,,,,,,,,,,,
243,META-nan,1,,,,,,,,,,,,
244,META-nan,1,,,,,,,,,,,,
245,META-nan,0,,,,,,,,,,,,
246,META-nan,0,,,,,,,,,,,,
247,META-nan,0,,,,,,,,,,,,
248,META-nan,1,,,,,,,,,,,,
249,META-nan,0,,,,,,,,,,,,
250,META-nan,1,,,,,,,,,,,,
251,META-nan,1,,,,,,,,,,,,
252,META-nan,0,,,,,,,,,,,,
253,META-nan,1,,,,,,,,,,,,
254,META-nan,0,,,,,,,,,,,,
255,META-nan,0,,,,,,,,,,,,
256,META-nan,0,,,,,,,,,,,,
257,META-nan,0,,,,,,,,,,,,
258,META-nan,0,,,,,,,,,,,,
259,META-nan,1,,,,,,,,,,,,
260,META-nan,0,,,,,,,,,,,,
261,META-nan,0,,,,,,,,,,,,
262,META-nan,1,,,,,,,,,,,,
263,META-nan,0,,,,,,,,,,,,
264,META-nan,0,,,,,,,,,,,,
265,META-nan,1,,,,,,,,,,,,
266,META-nan,1,,,,,,,,,,,,
267,META-nan,1,,,,,,,,,,,,
268,META-nan,0,,,,,,,,,,,,
269,META-nan,0,,,,,,,,,,,,
270,META-nan,0,,,,,,,,,,,,
271,META-nan,1,,,,,,,,,,,,
272,META-nan,1,,,,,,,,,,,,
273,META-nan,1,,,,,,,,,,,,
274,META-nan,0,,,,,,,,,,,,
275,META-nan,0,,,,,,,,,,,,
276,META-nan,1,,,,,,,,,,,,
277,META-nan,0,,,,,,,,,,,,
278,META-nan,0,,,,,,,,,,,,
279,META-nan,1,,,,,,,,,,,,
280,META-nan,1,,,,,,,,,,,,
281,META-nan,1,,,,,,,,,,,,
282,META-nan,0,,,,,,,,,,,,
283,META-nan,0,,,,,,,,,,,,
284,META-nan,1,,,,,,,,,,,,
285,META-nan,1,,,,,,,,,,,,
286,META-nan,1,,,,,,,,,,,,
287,META-nan,1,,,,,,,,,,,,
288,META-nan,1,,,,,,,,,,,,
289,META-nan,1,,,,,,,,,,,,
290,META-nan,0,,,,,,,,,,,,
291,META-nan,1,,,,,,,,,,,,
292,META-nan,0,,,,,,,,,,,,
293,META-nan,1,,,,,,,,,,,,
294,META-nan,0,,,,,,,,,,,,
295,META-nan,0,,,,,,,,,,,,
296,META-nan,1,,,,,,,,,,,,
297,META-nan,1,,,,,,,,,,,,
298,META-nan,0,,,,,,,,,,,,
299,META-nan,0,,,,,,,,,,,,
300,META-nan,1,,,,,,,,,,,,
301,META-nan,0,,,,,,,,,,,,
302,META-nan,0,,,,,,,,,,,,
303,META-nan,0,,,,,,,,,,,,
304,META-nan,1,,,,,,,,,,,,
305,META-nan,0,,,,,,,,,,,,
306,META-nan,0,,,,,,,,,,,,
307,META-nan,1,,,,,,,,,,,,
308,META-nan,0,,,,,,,,,,,,
309,META-nan,0,,,,,,,,,,,,
310,META-nan,0,,,,,,,,,,,,
311,META-nan,0,,,,,,,,,,,,
312,META-nan,1,,,,,,,,,,,,
313,META-nan,0,,,,,,,,,,,,
314,META-nan,1,,,,,,,,,,,,
315,META-nan,1,,,,,,,,,,,,
316,META-nan,1,,,,,,,,,,,,
317,META-nan,1,,,,,,,,,,,,
318,META-nan,0,,,,,,,,,,,,
319,META-nan,1,,,,,,,,,,,,
320,META-nan,1,,,,,,,,,,,,
321,META-nan,0,,,,,,,,,,,,
322,META-nan,1,,,,,,,,,,,,
323,META-nan,1,,,,,,,,,,,,
324,META-nan,0,,,,,,,,,,,,
325,META-nan,1,,,,,,,,,,,,
326,META-nan,0,,,,,,,,,,,,
327,META-nan,1,,,,,,,,,,,,
328,META-nan,1,,,,,,,,,,,,
329,META-nan,1,,,,,,,,,,,,
330,META-nan,1,,,,,,,,,,,,
331,META-nan,0,,,,,,,,,,,,
332,META-nan,1,,,,,,,,,,,,
333,META-nan,1,,,,,,,,,,,,
334,META-nan,1,,,,,,,,,,,,
335,META-nan,1,,,,,,,,,,,,
336,META-nan,0,,,,,,,,,,,,
337,META-nan,1,,,,,,,,,,,,
338,META-nan,1,,,,,,,,,,,,
339,META-nan,0,,,,,,,,,,,,
340,META-nan,1,,,,,,,,,,,,
341,META-nan,1,,,,,,,,,,,,
342,META-nan,1,,,,,,,,,,,,
343,META-nan,1,,,,,,,,,,,,
344,META-nan,0,,,,,,,,,,,,
345,META-nan,0,,,,,,,,,,,,
346,META-nan,0,,,,,,,,,,,,
347,META-nan,0,,,,,,,,,,,,
348,META-nan,0,,,,,,,,,,,,
349,META-nan,1,,,,,,,,,,,,
350,META-nan,1,,,,,,,,,,,,
351,META-nan,0,,,,,,,,,,,,
352,META-nan,0,,,,,,,,,,,,
353,META-nan,0,,,,,,,,,,,,
354,META-nan,0,,,,,,,,,,,,
355,META-nan,0,,,,,,,,,,,,
356,META-nan,1,,,,,,,,,,,,
357,META-nan,1,,,,,,,,,,,,
358,META-nan,0,,,,,,,,,,,,
359,META-nan,1,,,,,,,,,,,,
360,META-nan,1,,,,,,,,,,,,
361,META-nan,1,,,,,,,,,,,,
362,META-nan,0,,,,,,,,,,,,
363,META-nan,1,,,,,,,,,,,,
364,META-nan,0,,,,,,,,,,,,
365,META-nan,1,,,,,,,,,,,,
366,META-nan,0,,,,,,,,,,,,
367,META-nan,1,,,,,,,,,,,,
368,META-nan,0,,,,,,,,,,,,
369,META-nan,1,,,,,,,,,,,,
370,META-nan,1,,,,,,,,,,,,
371,META-nan,0,,,,,,,,,,,,
372,META-nan,1,,,,,,,,,,,,
373,META-nan,0,,,,,,,,,,,,
374,META-nan,0,,,,,,,,,,,,
375,META-nan,0,,,,,,,,,,,,
376,META-nan,1,,,,,,,,,,,,
377,META-nan,0,,,,,,,,,,,,
378,META-nan,0,,,,,,,,,,,,
379,META-nan,1,,,,,,,,,,,,
380,META-nan,0,,,,,,,,,,,,
381,META-nan,1,,,,,,,,,,,,
382,META-nan,0,,,,,,,,,,,,
383,META-nan,1,,,,,,,,,,,,
384,META-nan,0,,,,,,,,,,,,
385,META-nan,0,,,,,,,,,,,,
386,META-nan,1,,,,,,,,,,,,
387,META-nan,1,,,,,,,,,,,,
388,META-nan,0,,,,,,,,,,,,
389,META-nan,0,,,,,,,,,,,,
390,META-nan,0,,,,,,,,,,,,
391,META-nan,0,,,,,,,,,,,,
392,META-nan,1,,,,,,,,,,,,
393,META-nan,0,,,,,,,,,,,,
394,META-nan,0,,,,,,,,,,,,
395,META-nan,1,,,,,,,,,,,,
396,META-nan,0,,,,,,,,,,,,
397,META-nan,0,,,,,,,,,,,,
398,META-nan,1,,,,,,,,,,,,
399,META-nan,0,,,,,,,,,,,,
400,META-nan,0,,,,,,,,,,,,
401,META-nan,1,,,,,,,,,,,,
402,META-nan,0,,,,,,,,,,,,
403,META-nan,1,,,,,,,,,,,,
404,META-nan,0,,,,,,,,,,,,
405,META-nan,1,,,,,,,,,,,,
406,META-nan,1,,,,,,,,,,,,
407,META-nan,0,,,,,,,,,,,,
408,META-nan,1,,,,,,,,,,,,
409,META-nan,0,,,,,,,,,,,,
410,META-nan,1,,,,,,,,,,,,
411,META-nan,1,,,,,,,,,,,,
412,META-nan,0,,,,,,,,,,,,
413,META-nan,0,,,,,,,,,,,,
414,META-nan,1,,,,,,,,,,,,
415,META-nan,1,,,,,,,,,,,,
416,META-nan,0,,,,,,,,,,,,
417,META-nan,1,,,,,,,,,,,,
418,META-nan,0,,,,,,,,,,,,
419,META-nan,1,,,,,,,,,,,,
420,META-nan,1,,,,,,,,,,,,
421,META-nan,0,,,,,,,,,,,,
422,META-nan,0,,,,,,,,,,,,
423,META-nan,0,,,,,,,,,,,,
424,META-nan,1,,,,,,,,,,,,
425,META-nan,0,,,,,,,,,,,,
426,META-nan,0,,,,,,,,,,,,
427,META-nan,1,,,,,,,,,,,,
428,META-nan,1,,,,,,,,,,,,
429,META-nan,0,,,,,,,,,,,,
430,META-nan,1,,,,,,,,,,,,
431,META-nan,1,,,,,,,,,,,,
432,META-nan,0,,,,,,,,,,,,
433,META-nan,1,,,,,,,,,,,,
434,META-nan,0,,,,,,,,,,,,
435,META-nan,0,,,,,,,,,,,,
436,META-nan,0,,,,,,,,,,,,
437,META-nan,1,,,,,,,,,,,,
438,META-nan,1,,,,,,,,,,,,
439,META-nan,0,,,,,,,,,,,,
440,META-nan,1,,,,,,,,,,,,
441,META-nan,0,,,,,,,,,,,,
442,META-nan,1,,,,,,,,,,,,
443,META-nan,0,,,,,,,,,,,,
444,META-nan,1,,,,,,,,,,,,
445,META-nan,1,,,,,,,,,,,,
446,META-nan,1,,,,,,,,,,,,
447,META-nan,1,,,,,,,,,,,,
448,META-nan,1,,,,,,,,,,,,
449,META-nan,1,,,,,,,,,,,,
450,META-nan,0,,,,,,,,,,,,
451,META-nan,1,,,,,,,,,,,,
452,META-nan,1,,,,,,,,,,,,
453,META-nan,0,,,,,,,,,,,,
454,META-nan,1,,,,,,,,,,,,
455,META-nan,0,,,,,,,,,,,,
456,META-nan,0,,,,,,,,,,,,
457,META-nan,0,,,,,,,,,,,,
458,META-nan,0,,,,,,,,,,,,
